Title,Abstract,Authors,PublicationDate,DOI,Source
A case of psychotic disorder associated with a right temporal lesion: a special reference to magnetic resonance imaging and single photon emission computed tomography findings.,"A case of psychotic disorder with a right temporal lesion was reported. The patient, a 19 year old male, who underwent a brain surgery to remove the trigeminal Schwannoma, occupying from the right cerebellopontine angle to the right middle cranial fossa. One year postoperatively, he presented with a psychotic disorder, including auditory hallucinations, delusions of persecution and reference, thought hearing, thought insertion and passive experiences. T1-weighted images on magnetic resonance imaging (MRI) demonstrated a low intensity signal area in the right temporal cortex and white matter. T2-weighted images demonstrated a high intensity signal within the same region. Single photon emission computed tomograghy (SPECT) demonstrated a severe low perfusion corresponding to the region in which the MRI demonstrated the abnormalities. The clinical and neuroimaging studies of this case suggest that psychotic disorder may occur in association with a right temporal lesion and MRI and SPECT are useful to evaluate an organic basis for the psychotic disorder.","Mizukami K, Yamakawa Y, Yokoyama H, Shiraishi H, Kobayashi S",1999 Oct,,PubMed
Refractory symptomatic schizophrenia resulting from frontal lobe lesion: response to clozapine.,"A 34-year-old man with a 10-year history of persistent auditory hallucinations and passivity delusions had failed to respond to a variety of conventional antipsychotic medications. He had a history of head trauma 8 years before the onset of psychiatric symptoms. Recent investigations revealed a post-traumatic infarct, situated in the left frontal lobe, on a magnetic resonance imaging scan. Treatment with clozapine for more than 2 years resulted in a marked improvement in his psychotic symptoms. The localization of the brain lesion may be related to the etiology of his symptoms and to the clinical response to clozapine.","Burke JG, Dursun SM, Reveley MA",1999 Nov,,PubMed
Bilateral anterior cortical atrophy and subcortical atrophy in reduplicative paramnesia: a case-control study of computed tomography in 10 patients.,"OBJECTIVE: Reduplicative paramnesia (RP) is thought to be related to other delusional misidentification syndromes (DMS) such as Capgras syndrome. DMS are thought to occur when brain lesions disrupt cortical functioning. This study tests this hypothesis and tries to understand whether focal lesions are as important in the etiology of RP as they are in other types of DMS. METHOD: The computed tomography (CT) scans of 10 consecutive psychiatric inpatients with RP and another principal psychiatric diagnosis were compared with those of control patients without RP matched for age, sex, and principal psychiatric diagnosis. The scans were assessed blindly by a neuroradiologist using a previously published rating scale for the presence of lesions in 11 discrete anatomic areas. The differences between the 2 groups were examined statistically using log-linear analysis. RESULTS: Statistical analysis revealed that index patient cortical atrophy, cortical fissure enlargement, and deep brain atrophy distinguished the 2 groups significantly (P < 0.05). CONCLUSIONS: Bilateral anterior cortical, brain stem, and cerebellar vermis atrophy and dysfunction may be important in the pathogenesis of RP in particular and of DMS in general.","Joseph AB, O'Leary DH, Kurland R, Ellis HD",1999 Sep,,PubMed
Confabulation and delusional misidentification: a four year follow-up study.,"We describe a patient, AZ, who showed, in addition to an amnesic syndrome which eventually improved, longstanding confabulation and delusional misidentification following bilateral frontal and right temporal post-traumatic lesions. Confabulation appeared in personal recollections and on long-term verbal memory testing. Misidentification concerned mainly his wife and house. During the four year follow-up AZ's confabulation progressively shrinked so as to become restricted to verbal memory tasks. By contrast, misidentification persisted. General semantic memory was unimpaired throughout, while performance on frontal tests was initially poor and partly improved in time. We argue that confabulation and misidentification, though often intermingled and occurring after similar lesion pattern, should be considered as different neuropsychological entities.","Mattioli F, Miozzo A, Vignolo LA",1999 Jun,,PubMed
Neuropsychologic implications in erotomania: two case studies.,"OBJECTIVE: To explore neuroanatomic substrates and cognitive factors associated with erotomania through neuropsychologic test data and neurologic studies. BACKGROUND: Erotomania is a delusional disorder that has been examined and conceptualized both clinically and psychodynamically. It is believed that neuroanatomic and neuropsychologic correlates can provide important insights into the causes of erotomania. METHOD: Two patients with erotomania and the results of their neuropsychologic testing were examined, and neurologic studies also were examined for one of the patients. These data were compared with case studies from the literature. RESULTS: Neuropsychologic test results suggested that erotomania may be associated with deficits in cognitive flexibility and associative learning that are mediated by frontal-subcortical systems, and with deficits in verbal and visuospatial skills. Neurologic studies suggested abnormalities in temporal areas. CONCLUSIONS: Visuospatial-functioning deficits or limbic lesions, particularly in the temporal lobes, in combination with isolative and ambivalent romantic experiences, may contribute to misinterpretations in erotomania, and deficits in cognitive flexibility may contribute to the maintenance of the delusional belief.","Fujii DE, Ahmed I, Takeshita J",1999 Apr,,PubMed
[Clinical judgment and decision making in clinical practice. A music conductor with epilepsy followed by memory disorders].,"A 40-year-old conductor was admitted because of increasing drowsiness and confusion. Two years before admission he had had a first seizure. One year before admission he had a generalized convulsive status epilepticus; the following months he was less able to concentrate. A second status epilepticus was followed by transient weakness of his left arm and a depressed level of consciousness for several weeks. After awakening, he had delusions, and his wife found him demented. In the following months his confusion and drowsiness gradually deteriorated. He had previously had gonorrhoea, an episode of fever and exanthema, and was found to have oligospermia as cause of his infertility. On examination he was disoriented, and he had dysarthria. His left pupil was smaller, but both pupils reacted normally. There was left hemianopia and cerebellar ataxia. CT and MR showed large ventricles and periventricular diffuse lesions in the white matter. CSF examination revealed leucocytosis and increased protein content. Further examination were focussed on serological evidence of syphilis, and finally neurosyphilis was diagnosed. After treatment with penicillin, the patient started to recover.","Rinkel GJ, Brouwers PJ, Lambrechts DA",1997 Apr 12,,PubMed
Sneddon's syndrome (livedo racemosa and cerebral infarction) presenting psychiatric disturbance and shortening of fingers and toes.,"A 24-year-old man with livedo racemosa and psychiatric disturbances, manifesting as low intelligence (IQ 80) and delusions, had anti-cardiolipin antibody and showed shortening of the fingers and toes. A skin biopsy of the livedo lesion revealed endoarteritis obliterans, being compatible with Sneddon's syndrome. MRI of the brain demonstrated multiple infarction and moderate cortical atrophy. A single photon emission tomography of the brain showed a marked reduction of the blood flow in the front-temporal lobe. These findings might relate to the psychiatric disturbance. After intravenous administration of cyclophosphamide and the start of oral prednisolone, the anti-cardiolipin antibody level decreased and his physical condition improved. However, a low dose of haloperidol is still necessary to maintain his mental condition.","Kume M, Imai H, Motegi M, Miura AB, Namura I",1996 Aug,,PubMed
Oedipism in a patient with frontal lobe encephalomalacia.,There is a growing recognition of the role of the frontal lobes in the aetiology of severe behavioural aberrations. The authors describe a case of Oedipism in a patient who had MRI evidence of frontal lobe encephalomalacia. After discussing the function of the frontal lobes in modulating behaviour the authors suggest that the structural lesion seen on the MRI was in part responsible for the patient's self-destructive act. Treatment issues and the importance of recognizing underlying structural lesions in instances of extreme self-mutilation are discussed.,"Waldfogel S, Field HL, Wu L",1994 May-Jun,,PubMed
SPECT data in a case of secondary Capgras delusion.,"Capgras' delusion (CD) may be secondary to a neurologic lesion, particularly in the right frontal or occipital regions. A 40-year-old woman with multiple sclerosis underwent SPECT during and after an episode of CD. Analysis during delusion showed an uptake defect in the right parietal cortex with an 11% index of asymmetry (normal: < or = 4%). Post-delusion SPECT showed decreased bifrontal and biparietal cortical uptake indices but a normal index of asymmetry. Functional brain imaging may provide clues to the psychopathology of CD.","Lebert F, Pasquier F, Steinling M, Cabaret M, Caparros-Lefebvre D, Petit H",1994,,PubMed
MRI and SPECT of Klinefelter's syndrome with various neuropsychiatric symptoms: a case report.,"We present here magnetic resonance imaging (MRI) and single photon emission computed tomography with 123I-N-isopropyl-p-iodoamphetamine (123I-IMP-SPECT) of a patient suffering from Klinefelter's syndrome with various neuropsychiatric symptoms. He was a 30-year-old male, who showed impaired consciousness seizures, auditory hallucination, delusion of reference, delusion of grandeur, psychomotor excitement and intellectual impairment. Although no focal lesion was detected by computed tomography or T1-weighted MRI, T2-weighted MRI provided a heterogeneous high-signal-intensity lesion of the inferior part of the left temporal lobe, which was not enhanced with Gd-DTPA. In addition 123I-IMP-SPECT exhibited focal hypoperfusion in the left temporal lobe on the early images. We suggest that the neuropsychiatric symptoms of this case are associated with the focal organic brain dysfunction which was revealed by MRI and 123I-IMP-SPECT.","Miyamoto A, Kitawaki K, Koida H, Nagao K",1993 Dec,,PubMed
[A case of Meige's syndrome associated with post head trauma].,"The pathogenesis of Meige's syndrome (MS) is controversial and has yet to be determined up to today. We studied a case of MS associated with post head trauma. The patient was a 52-year-old female. At the age of 46, she began to suffer from oro-lingual dystonia after head trauma induced by a traffic accident and the brief administration of neuroleptics to the delusion deteriorated the dystonia. She showed a wry appearance after 1 year and 6 months of the trauma and began to exhibit blepharospasms, oro-mandibular dystonia and cervical dystonia after 2 years and 3 months. For these symptoms her daily life became difficult. These symptoms were resistant to various drug therapies, although trihexyphenidyl relieved the symptoms transiently. Laboratory examinations and cranial MRI findings were normal. By surface electromyogram of ocular orbicular muscles, bilateral continuous discharge was observed. This patient was diagnosed as MS by clinical symptoms and surface electromyogram findings. It was inferred that the head trauma was associated with the development of MS. We discussed the pathogenesis of MS in the present case and it was speculated that MS was presented by a minute lesion of the brain stem which was produced at the time of the head trauma.","Kimura T, Deshimaru M, Inukai K, Matsunaga T, Miyakawa T",1992 Nov,,PubMed
[Acute psychiatric pathology disclosing subcortical lesion in neuro-AIDS].,"Maccario et al. described, in 1987, the case of an HIV-positive patient whose psychotic symptomatology was the expression of right centrum semi-ovale lesion. We report the case of a patient who suffered a sudden delirium, expression of a probable right lenticular cerebral toxoplasmosis. This 35-year-old male homosexual, who had no psychiatric history, suddenly developed in November 1988 the following psychiatric signs: he started to walk back and forth incessantly, he had the impression that he was the subject of the conversations of the passers-by, that all the posters and notices refer to him, and that he was God. He was admitted in a psychiatric department where the symptoms were progressively curbed by neuroleptics (cyamemazine 75 mg, and haloperidol 15 mg). The episode was not questioned by the patient, but attributed to bad eating habits. HIV-positivity had been discovered a year later (during systematic screening). A computerized tomographic (CT) scan performed subsequently to this delirium was interpreted as normal. Four weeks later the patient was referred to us. The psychiatric condition was stabilized in spite of a certain aggressiveness and the probable persistence of an underlying delirium state. Laboratory examinations showed the following: blood count revealed leukopenia (2.2 G/l) and thrombocytopenia (135 G/l; OKT4/OKT8 ratio was 0.08; CSF: normal; sputum culture evidenced the presence of pneumocystis carinii; EEG were normal. Neuropsychological symptoms concerned in particular a lack of concentration during the different tests with a definitive wavering of attention. Lexical retrieval was poor whatever the topic proposed.(ABSTRACT TRUNCATED AT 250 WORDS)","Donnet A, Harle JR, Cherif AA, Gastaut JA, Weiller PJ",1991 Mar-Apr,,PubMed
Multiple sclerosis and affective disorders.,"Affective disorders occurring in association with multiple sclerosis have been attributed both to the psychosocial impact of a chronic disabling illness and to the structural lesions of cerebral demyelination. A review of research evidence suggests that while there is a correlation between chronic depressive symptoms and both progressive disability and lack of social support, acute major depressive and manic episodes may be psychiatric manifestations of demyelinating lesions and may be the initial presenting symptoms of multiple sclerosis. Anti-inflammatory agents may be required in the management of acute psychiatric symptoms despite the fact that these agents have a propensity to precipitate psychotic episodes. Two case reports are presented to illustrate the clinical challenge of distinguishing between organic and functional affective illness in patients with multiple sclerosis. The interplay between biological and psychological aspects of multiple sclerosis in precipitating affective disorders is discussed, with implications for patient assessment and management.","Garland EJ, Zis AP",1991 Mar,,PubMed
[Delusional melancholia and multiple lacunar infarcts of the basal ganglia].,"A 72 years-old man presented with melancholia with delusions, possibly resulting from multiple lacunar infarcts in the basal ganglia. This case is akin to the syndrome of psychic akinesia and compulsive activity, resulting from lenticular nucleus lesions or frontal lobe lesions. We suggest that melancholia could be a consequence of a certain type of stereotyped mental activity and we would compare this stereotyped mental activity to stereotyped verbal activity in aphasia. Cognitive impairment might then be a cause of depression.","Danel T, Goudemand M, Ghawche F, Godefroy O, Pruvo JP, Vaiva G, Samaille E, Pandit F",1991,,PubMed
"Delusional misidentification, AIDS and the right hemisphere.",A patient with AIDS developed the Capgras' syndrome as part of an acute confusional state resulting from an opportunistic infection. Neuropsychological testing suggested non-dominant hemisphere dysfunction with impaired facial recognition. Serial CT scanning showed a right parietal lesion which resolved after the psychosis improved. These findings provide further evidence for the hypothesis that selective visuospatial deficits underlie the development of Capgras' syndrome.,"Crichton P, Lewis S",1990 Oct,,PubMed
Primary intracerebral lymphoma in systemic lupus erythematosus treated with immunosuppressives.,"A 38-year-old woman suffering from systemic lupus erythematosus was treated with cyclophosphamide and prednisone. Two months later she developed mononeuritis multiplex. After one year, she showed a personality change with aggressiveness and paranoid delusions. Grand mal epileptic fits began to occur. An unenhanced CT-scan showed extensive and bilateral frontal hypodense lesions originally ascribed to vasculitis-caused infarcts. On autopsy, a primary intracerebral lymphoma with extensive necroses was demonstrated. The relationship between SLE, immunosuppressive treatment and primary intracerebral lymphoma is discussed.","Cras P, Franckx C, Martin JJ",1989 Jul-Aug,,PubMed
[Melanomatous meningitis. Apropos of 3 cases].,"The meninges are frequently involved during the dissemination of malignant melanoma. This ""meningeal melanoma"" ranks fairly high on the list of metastatic meningites, side by side with meningeal carcinomatosis proper (i.e. related to a malignant epithelial tumour). Meningeal melanoma may be associated with a cerebral metastasis or isolated, as in the three cases reported here. Although its prognosis is sombre, its diagnosis is important since the possibilities of treatment are limited but exist. CASE-REPORTS: Case 1. This was a 68-year old woman who had initially presented with malignant melanoma in the maxillary region (SSM level IV, thickness 2.9 mm). Two years after the primary tumor was excised, secondary lesions developed in the lymph nodes and bones. A few weeks later, the patient fell into mental confusion progressing towards delusion of persecution. Neurological examination and CT scans were normal, but numerous melanoma cells were found in the CSF. This woman died one month after the first neurological signs had appeared. Case 2. This 63-year old man presented with bilateral axillary adenopathy and inflammatory thoracic plaques which at histology had proved to be metastases from a malignant melanoma of the shoulder surgically treated 10 years previously. After 14 months of almost complete remission under multiple chemotherapy (CPDD, ACTD, VDS), headaches and lumbosacral pain developed. Standard radiography and CT of the spine gave normal results, and it was only at the third lumbar puncture that the CSF was found to contain malignant cells. The patient died 2 months after the first neurological manifestations. Case 3. A 42-year old woman developed headaches and dysesthaesia in the arms and head. This was followed by oppositional semi-mutism. All exploratory examinations were normal, except for that of the CSF which showed 18 cells/mm3, 50 p. 100 of which were melanoma cells. The patient was transferred to the Dermatology department where he underwent excision of a left scapular melanoma difficult to classify (malignant blue naevus?). Combined treatment with Fotemustine* and DTIC produced an incomplete but relatively prolonged response. Death occurred after 8 months. DISCUSSION: A. Meningeal melanoma accounts for about 10 p. 100 of all metastatic meningites. The most frequent primary tumours in meningeal carcinomas are breast cancer and lung cancer. Malignant melanoma ranks third or fourth, but when the relative frequency of each of these three malignant diseases is taken into account, it appears that the risk of malignant melanoma is higher than that of any other solid tumour. B. In 410 cases extracted from the literature, the meninges were involved in 30 p. 100 of malignant metastatic melanomas found at autopsy. There is no publication that makes it possible to evaluate the relative frequency of melanomas affecting only the meninges or coexisting with cerebral metastases. This also applies to meningeal melanoma associated with non-neuro","Delaunay M, Erny A, Meraud JP, Le Clech C, Verret JL, Geniaux M",1989,,PubMed
[Right hemiasomatognosia and sensation of amputation caused by left subcortical lesion. Role of callosal disconnection].,"A 72-year-old right-handed hypertensive man presented with a right brachial monoplegia, and hypesthesia of the right half of the body to touch and pricking, sparing the face. A CT scan 2 weeks later showed a spontaneous hyperdense area corresponding to a left subcortical parietal hematoma. The patient used his spontaneous language to express body image disturbances: intense prolonged feeling of amputation related to the upper limb and foot on the right side, hemiasomatognosia without anosognosia, autotopagnosia. Also associated were a right-sided visual negligence and a more general inability to handle spatial data leading to a temporospatial disorientation. Mild language disorders were suggestive of subcortical aphasia: normal incitation and repetition; with semantic paraphasias, poor verbal fluency. Furthermore comprehension of orders or propositions concerning spatial data were poor. Finally, there were signs suggestive of callosal disconnection: paradoxical extinction of the left ear during dichotic listening, agraphia and anomia of the left hand, ideomotor apraxia of the left upper limb, difficulty in visual transfer. The lesion interrupted thalamic tracts to parietal regions and callosal fibers linking parieto-occipital association areas. This twofold lesion was analyzed for each of the neuropsychological disturbances observed. Certain aspect of cerebral function in this patient were reminiscent of ""split-brain"" disorders. The left hemisphere which ""speaks"" fails to understand the feelings of the right hemisphere: unfamiliarity of places, sensations of illness, resulting in an unadapted speech. The pathophysiology of feeling of amputation is discussed.","Cambier J, Elghozi D, Graveleau P, Lubetzki C",1984,,PubMed
APIS: A paired CT-MRI dataset for ischemic stroke segmentation challenge,"Stroke is the second leading cause of mortality worldwide. Immediate
attention and diagnosis play a crucial role regarding patient prognosis. The
key to diagnosis consists in localizing and delineating brain lesions. Standard
stroke examination protocols include the initial evaluation from a non-contrast
CT scan to discriminate between hemorrhage and ischemia. However, non-contrast
CTs may lack sensitivity in detecting subtle ischemic changes in the acute
phase. As a result, complementary diffusion-weighted MRI studies are captured
to provide valuable insights, allowing to recover and quantify stroke lesions.
This work introduced APIS, the first paired public dataset with NCCT and ADC
studies of acute ischemic stroke patients. APIS was presented as a challenge at
the 20th IEEE International Symposium on Biomedical Imaging 2023, where
researchers were invited to propose new computational strategies that leverage
paired data and deal with lesion segmentation over CT sequences. Despite all
the teams employing specialized deep learning tools, the results suggest that
the ischemic stroke segmentation task from NCCT remains challenging. The
annotated dataset remains accessible to the public upon registration, inviting
the scientific community to deal with stroke characterization from NCCT but
guided with paired DWI information.","Santiago Gómez, Daniel Mantilla, Gustavo Garzón, Edgar Rangel, Andrés Ortiz, Franklin Sierra-Jerez, Fabio Martínez",2023-09-26,10.1038/s41598-024-71273-x,arXiv
Segmentation Ability Map: Interpret deep features for medical image segmentation,"Deep convolutional neural networks (CNNs) have been widely used for medical
image segmentation. In most studies, only the output layer is exploited to
compute the final segmentation results and the hidden representations of the
deep learned features have not been well understood. In this paper, we propose
a prototype segmentation (ProtoSeg) method to compute a binary segmentation map
based on deep features. We measure the segmentation abilities of the features
by computing the Dice between the feature segmentation map and ground-truth,
named as the segmentation ability score (SA score for short). The corresponding
SA score can quantify the segmentation abilities of deep features in different
layers and units to understand the deep neural networks for segmentation. In
addition, our method can provide a mean SA score which can give a performance
estimation of the output on the test images without ground-truth. Finally, we
use the proposed ProtoSeg method to compute the segmentation map directly on
input images to further understand the segmentation ability of each input
image. Results are presented on segmenting tumors in brain MRI, lesions in skin
images, COVID-related abnormality in CT images, prostate segmentation in
abdominal MRI, and pancreatic mass segmentation in CT images. Our method can
provide new insights for interpreting and explainable AI systems for medical
image segmentation.
  Our code is available on: \url{https://github.com/shengfly/ProtoSeg}.","Sheng He, Yanfang Feng, P. Ellen Grant, Yangming Ou",2022-12-19,,arXiv
Dual Adversarial Learning with Attention Mechanism for Fine-grained Medical Image Synthesis,"Medical imaging plays a critical role in various clinical applications.
However, due to multiple considerations such as cost and risk, the acquisition
of certain image modalities could be limited. To address this issue, many
cross-modality medical image synthesis methods have been proposed. However, the
current methods cannot well model the hard-to-synthesis regions (e.g., tumor or
lesion regions). To address this issue, we propose a simple but effective
strategy, that is, we propose a dual-discriminator (dual-D) adversarial
learning system, in which, a global-D is used to make an overall evaluation for
the synthetic image, and a local-D is proposed to densely evaluate the local
regions of the synthetic image. More importantly, we build an adversarial
attention mechanism which targets at better modeling hard-to-synthesize regions
(e.g., tumor or lesion regions) based on the local-D. Experimental results show
the robustness and accuracy of our method in synthesizing fine-grained target
images from the corresponding source images. In particular, we evaluate our
method on two datasets, i.e., to address the tasks of generating T2 MRI from T1
MRI for the brain tumor images and generating MRI from CT. Our method
outperforms the state-of-the-art methods under comparison in all datasets and
tasks. And the proposed difficult-region-aware attention mechanism is also
proved to be able to help generate more realistic images, especially for the
hard-to-synthesize regions.","Dong Nie, Lei Xiang, Qian Wang, Dinggang Shen",2019-07-07,,arXiv
ISLES 2024: The first longitudinal multimodal multi-center real-world dataset in (sub-)acute stroke,"Stroke remains a leading cause of global morbidity and mortality, placing a
heavy socioeconomic burden. Over the past decade, advances in endovascular
reperfusion therapy and the use of CT and MRI imaging for treatment guidance
have significantly improved patient outcomes and are now standard in clinical
practice. To develop machine learning algorithms that can extract meaningful
and reproducible models of brain function for both clinical and research
purposes from stroke images - particularly for lesion identification, brain
health quantification, and prognosis - large, diverse, and well-annotated
public datasets are essential. While only a few datasets with (sub-)acute
stroke data were previously available, several large, high-quality datasets
have recently been made publicly accessible. However, these existing datasets
include only MRI data. In contrast, our dataset is the first to offer
comprehensive longitudinal stroke data, including acute CT imaging with
angiography and perfusion, follow-up MRI at 2-9 days, as well as acute and
longitudinal clinical data up to a three-month outcome. The dataset includes a
training dataset of n = 150 and a test dataset of n = 100 scans. Training data
is publicly available, while test data will be used exclusively for model
validation. We are making this dataset available as part of the 2024 edition of
the Ischemic Stroke Lesion Segmentation (ISLES) challenge
(https://www.isles-challenge.org/), which continuously aims to establish
benchmark methods for acute and sub-acute ischemic stroke lesion segmentation,
aiding in creating open stroke imaging datasets and evaluating cutting-edge
image processing algorithms.","Evamaria O. Riedel, Ezequiel de la Rosa, The Anh Baran, Moritz Hernandez Petzsche, Hakim Baazaoui, Kaiyuan Yang, David Robben, Joaquin Oscar Seia, Roland Wiest, Mauricio Reyes, Ruisheng Su, Claus Zimmer, Tobias Boeckh-Behrens, Maria Berndt, Bjoern Menze, Benedikt Wiestler, Susanne Wegener, Jan S. Kirschke",2024-08-20,,arXiv
Development of a Deep Learning Method to Identify Acute Ischemic Stroke Lesions on Brain CT,"Computed Tomography (CT) is commonly used to image acute ischemic stroke
(AIS) patients, but its interpretation by radiologists is time-consuming and
subject to inter-observer variability. Deep learning (DL) techniques can
provide automated CT brain scan assessment, but usually require annotated
images. Aiming to develop a DL method for AIS using labelled but not annotated
CT brain scans from patients with AIS, we designed a convolutional neural
network-based DL algorithm using routinely-collected CT brain scans from the
Third International Stroke Trial (IST-3), which were not acquired using strict
research protocols. The DL model aimed to detect AIS lesions and classify the
side of the brain affected. We explored the impact of AIS lesion features,
background brain appearances, and timing on DL performance. From 5772 unique CT
scans of 2347 AIS patients (median age 82), 54% had visible AIS lesions
according to expert labelling. Our best-performing DL method achieved 72%
accuracy for lesion presence and side. Lesions that were larger (80% accuracy)
or multiple (87% accuracy for two lesions, 100% for three or more), were better
detected. Follow-up scans had 76% accuracy, while baseline scans 67% accuracy.
Chronic brain conditions reduced accuracy, particularly non-stroke lesions and
old stroke lesions (32% and 31% error rates respectively). DL methods can be
designed for AIS lesion detection on CT using the vast quantities of
routinely-collected CT brain scan data. Ultimately, this should lead to more
robust and widely-applicable methods.","Alessandro Fontanella, Wenwen Li, Grant Mair, Antreas Antoniou, Eleanor Platt, Paul Armitage, Emanuele Trucco, Joanna Wardlaw, Amos Storkey",2023-09-29,,arXiv
3-Dimensional Deep Learning with Spatial Erasing for Unsupervised Anomaly Segmentation in Brain MRI,"Purpose. Brain Magnetic Resonance Images (MRIs) are essential for the
diagnosis of neurological diseases. Recently, deep learning methods for
unsupervised anomaly detection (UAD) have been proposed for the analysis of
brain MRI. These methods rely on healthy brain MRIs and eliminate the
requirement of pixel-wise annotated data compared to supervised deep learning.
While a wide range of methods for UAD have been proposed, these methods are
mostly 2D and only learn from MRI slices, disregarding that brain lesions are
inherently 3D and the spatial context of MRI volumes remains unexploited.
  Methods. We investigate whether using increased spatial context by using MRI
volumes combined with spatial erasing leads to improved unsupervised anomaly
segmentation performance compared to learning from slices. We evaluate and
compare 2D variational autoencoder (VAE) to their 3D counterpart, propose 3D
input erasing, and systemically study the impact of the data set size on the
performance.
  Results. Using two publicly available segmentation data sets for evaluation,
3D VAE outperform their 2D counterpart, highlighting the advantage of
volumetric context. Also, our 3D erasing methods allow for further performance
improvements. Our best performing 3D VAE with input erasing leads to an average
DICE score of 31.40% compared to 25.76% for the 2D VAE.
  Conclusions. We propose 3D deep learning methods for UAD in brain MRI
combined with 3D erasing and demonstrate that 3D methods clearly outperform
their 2D counterpart for anomaly segmentation. Also, our spatial erasing method
allows for further performance improvements and reduces the requirement for
large data sets.","Marcel Bengs, Finn Behrendt, Julia Krüger, Roland Opfer, Alexander Schlaefer",2021-09-14,,arXiv
Unsupervised Anomaly Detection in 3D Brain MRI using Deep Learning with Multi-Task Brain Age Prediction,"Lesion detection in brain Magnetic Resonance Images (MRIs) remains a
challenging task. MRIs are typically read and interpreted by domain experts,
which is a tedious and time-consuming process. Recently, unsupervised anomaly
detection (UAD) in brain MRI with deep learning has shown promising results to
provide a quick, initial assessment. So far, these methods only rely on the
visual appearance of healthy brain anatomy for anomaly detection. Another
biomarker for abnormal brain development is the deviation between the brain age
and the chronological age, which is unexplored in combination with UAD. We
propose deep learning for UAD in 3D brain MRI considering additional age
information. We analyze the value of age information during training, as an
additional anomaly score, and systematically study several architecture
concepts. Based on our analysis, we propose a novel deep learning approach for
UAD with multi-task age prediction. We use clinical T1-weighted MRIs of 1735
healthy subjects and the publicly available BraTs 2019 data set for our study.
Our novel approach significantly improves UAD performance with an AUC of 92.60%
compared to an AUC-score of 84.37% using previous approaches without age
information.","Marcel Bengs, Finn Behrendt, Max-Heinrich Laves, Julia Krüger, Roland Opfer, Alexander Schlaefer",2022-01-31,,arXiv
Unsupervised Detection of Lesions in Brain MRI using constrained adversarial auto-encoders,"Lesion detection in brain Magnetic Resonance Images (MRI) remains a
challenging task. State-of-the-art approaches are mostly based on supervised
learning making use of large annotated datasets. Human beings, on the other
hand, even non-experts, can detect most abnormal lesions after seeing a handful
of healthy brain images. Replicating this capability of using prior information
on the appearance of healthy brain structure to detect lesions can help
computers achieve human level abnormality detection, specifically reducing the
need for numerous labeled examples and bettering generalization of previously
unseen lesions. To this end, we study detection of lesion regions in an
unsupervised manner by learning data distribution of brain MRI of healthy
subjects using auto-encoder based methods. We hypothesize that one of the main
limitations of the current models is the lack of consistency in latent
representation. We propose a simple yet effective constraint that helps mapping
of an image bearing lesion close to its corresponding healthy image in the
latent space. We use the Human Connectome Project dataset to learn distribution
of healthy-appearing brain MRI and report improved detection, in terms of AUC,
of the lesions in the BRATS challenge dataset.","Xiaoran Chen, Ender Konukoglu",2018-06-13,,arXiv
Ensembling Low Precision Models for Binary Biomedical Image Segmentation,"Segmentation of anatomical regions of interest such as vessels or small
lesions in medical images is still a difficult problem that is often tackled
with manual input by an expert. One of the major challenges for this task is
that the appearance of foreground (positive) regions can be similar to
background (negative) regions. As a result, many automatic segmentation
algorithms tend to exhibit asymmetric errors, typically producing more false
positives than false negatives. In this paper, we aim to leverage this
asymmetry and train a diverse ensemble of models with very high recall, while
sacrificing their precision. Our core idea is straightforward: A diverse
ensemble of low precision and high recall models are likely to make different
false positive errors (classifying background as foreground in different parts
of the image), but the true positives will tend to be consistent. Thus, in
aggregate the false positive errors will cancel out, yielding high performance
for the ensemble. Our strategy is general and can be applied with any
segmentation model. In three different applications (carotid artery
segmentation in a neck CT angiography, myocardium segmentation in a
cardiovascular MRI and multiple sclerosis lesion segmentation in a brain MRI),
we show how the proposed approach can significantly boost the performance of a
baseline segmentation method.","Tianyu Ma, Hang Zhang, Hanley Ong, Amar Vora, Thanh D. Nguyen, Ajay Gupta, Yi Wang, Mert Sabuncu",2020-10-16,10.1109/WACV48630.2021.00037,arXiv
